UID,days_sum,days_sub,days_rate,o_t_days
10000,11.0,7.0,4.5,1.0
10001,85.0,49.0,3.7222222222222223,7.0
10002,14.0,8.0,3.6666666666666665,1.0
10003,19.0,11.0,3.75,1.0
10004,41.0,27.0,4.857142857142857,2.0
10005,,,,
10006,14.0,0.0,1.0,1.0
10007,17.0,9.0,3.25,1.0
10008,51.0,9.0,1.4285714285714286,2.0
10009,19.0,5.0,1.7142857142857142,2.0
10010,12.0,4.0,2.0,0.0
10011,10.0,6.0,4.0,1.0
10012,73.0,55.0,7.111111111111111,3.0
10013,,,,
10014,42.0,18.0,2.5,4.0
10015,,,,
10016,42.0,12.0,1.8,3.0
10017,55.0,23.0,2.4375,4.0
10018,25.0,21.0,11.5,0.0
10019,15.0,5.0,2.0,1.0
10020,30.0,6.0,1.5,4.0
10021,267.0,115.0,2.513157894736842,12.0
10022,31.0,9.0,1.8181818181818181,1.0
10023,8.0,6.0,7.0,1.0
10024,13.0,1.0,1.1666666666666667,0.0
10025,128.0,6.0,1.098360655737705,6.0
10026,23.0,9.0,2.2857142857142856,3.0
10027,,,,
10028,33.0,17.0,3.125,2.0
10029,19.0,1.0,1.1111111111111112,1.0
10030,12.0,10.0,11.0,1.0
10031,7.0,3.0,2.5,1.0
10032,26.0,14.0,3.3333333333333335,2.0
10033,37.0,17.0,2.7,3.0
10034,29.0,9.0,1.9,3.0
10035,119.0,105.0,16.0,4.0
10036,220.0,148.0,5.111111111111111,16.0
10037,26.0,4.0,1.3636363636363635,2.0
10038,10.0,4.0,2.3333333333333335,1.0
10039,31.0,3.0,1.2142857142857142,5.0
10040,62.0,54.0,14.5,2.0
10041,9.0,7.0,8.0,1.0
10042,52.0,34.0,4.777777777777778,2.0
10043,20.0,12.0,4.0,3.0
10044,25.0,5.0,1.5,1.0
10045,22.0,10.0,2.6666666666666665,1.0
10046,21.0,5.0,1.625,1.0
10047,51.0,19.0,2.1875,4.0
10048,35.0,7.0,1.5,3.0
10049,13.0,5.0,2.25,1.0
10050,26.0,20.0,7.666666666666667,0.0
10051,14.0,-6.0,0.4,1.0
10052,34.0,20.0,3.857142857142857,3.0
10053,114.0,24.0,1.5333333333333334,9.0
10054,352.0,280.0,8.777777777777779,12.0
10055,9.0,-5.0,0.2857142857142857,1.0
10056,8.0,6.0,7.0,1.0
10057,20.0,6.0,1.8571428571428572,1.0
10058,38.0,16.0,2.4545454545454546,4.0
10059,28.0,26.0,27.0,1.0
10060,240.0,214.0,17.46153846153846,6.0
10061,11.0,7.0,4.5,1.0
10062,,,,
10063,23.0,19.0,10.5,1.0
10064,9.0,7.0,8.0,1.0
10065,,,,
10066,12.0,2.0,1.4,1.0
10067,23.0,-1.0,0.9166666666666666,2.0
10068,19.0,9.0,2.8,1.0
10069,27.0,-5.0,0.6875,2.0
10070,13.0,-3.0,0.625,1.0
10071,143.0,87.0,4.107142857142857,7.0
10072,123.0,73.0,3.92,5.0
10073,14.0,4.0,1.8,2.0
10074,59.0,33.0,3.5384615384615383,3.0
10075,83.0,25.0,1.8620689655172413,5.0
10076,12.0,6.0,3.0,2.0
10077,,,,
10078,10.0,-4.0,0.42857142857142855,0.0
10079,32.0,-6.0,0.6842105263157895,1.0
10080,23.0,21.0,22.0,1.0
10081,14.0,2.0,1.3333333333333333,1.0
10082,,,,
10083,7.0,-1.0,0.75,1.0
10084,,,,
10085,,,,
10086,11.0,-3.0,0.5714285714285714,1.0
10087,17.0,-3.0,0.7,2.0
10088,,,,
10089,26.0,-20.0,0.13043478260869565,0.0
10090,16.0,-6.0,0.45454545454545453,0.0
10091,,,,
