UID,day,success,mode,os,version,device1,device2,device_code1,device_code2,device_code3,mac1,mac2,ip1,ip2,wifi,geo_code,ip1_sub,ip2_sub
10000,9,9.0,3,1,2,1,1,0,0,1,0,0,2,0,0,0,2,0
10001,67,49.0,6,3,1,2,1,1,2,1,1,1,9,1,1,3,9,1
10002,11,11.0,7,2,1,1,1,1,1,0,2,2,1,0,0,1,1,0
10003,15,15.0,2,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0
10004,34,32.0,9,1,2,1,1,1,2,0,1,1,6,0,3,1,6,0
10006,7,4.0,3,2,1,1,1,1,1,0,0,1,2,0,0,1,2,0
10007,13,13.0,3,1,1,1,1,1,2,0,0,1,3,0,1,1,3,0
10008,30,29.0,8,2,2,1,1,1,1,0,1,1,3,1,1,1,3,1
10009,12,12.0,2,1,2,1,1,1,2,0,0,1,3,0,0,1,3,0
10010,8,5.0,3,2,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10011,8,8.0,2,1,2,1,1,1,1,0,0,1,2,0,1,1,2,0
10012,64,56.0,13,2,1,1,2,2,3,0,2,3,7,1,0,3,6,1
10014,30,29.0,6,1,3,2,2,0,0,4,0,0,10,0,2,2,7,0
10016,27,27.0,6,1,2,1,1,1,2,0,1,1,5,0,3,0,5,0
10017,39,32.0,7,2,2,1,1,1,2,0,1,1,3,1,3,1,3,1
10018,23,15.0,5,2,1,1,1,1,1,0,1,1,2,0,2,1,2,0
10019,10,10.0,2,1,2,1,1,0,0,1,0,0,4,0,0,0,4,0
10020,18,18.0,2,1,2,1,1,1,1,0,0,1,7,0,1,1,4,0
10021,191,117.0,3,2,2,2,0,1,1,0,0,1,5,0,0,0,5,0
10022,20,14.0,3,2,1,1,1,1,1,0,0,1,2,0,0,1,2,0
10023,7,7.0,7,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
10024,7,6.0,3,2,1,1,1,1,1,0,1,1,1,0,1,1,1,0
10025,67,66.0,4,1,2,1,1,1,4,0,1,2,11,0,2,2,6,0
10026,16,16.0,2,1,2,1,1,1,2,0,0,1,5,0,1,2,5,0
10028,25,22.0,10,2,1,1,1,1,1,0,1,1,3,1,0,1,3,1
10029,10,10.0,2,1,1,1,1,1,2,0,0,1,2,0,1,1,2,0
10030,11,8.0,9,2,1,1,1,0,0,1,0,0,1,0,0,1,1,0
10031,5,5.0,2,1,1,1,1,1,2,0,0,1,1,0,1,1,1,0
10032,20,19.0,4,2,2,1,2,0,0,1,0,0,5,1,2,1,5,1
10033,27,25.0,8,2,2,1,2,2,3,0,1,1,5,1,1,1,5,1
10034,19,19.0,2,1,1,1,1,1,0,0,0,1,3,0,1,1,2,0
10035,112,112.0,2,1,2,2,1,1,2,0,1,1,12,0,3,5,6,0
10036,184,179.0,7,2,3,2,1,1,2,0,1,1,22,6,1,2,22,6
10037,15,15.0,2,1,2,1,1,1,2,0,0,1,3,0,1,1,3,0
10038,7,5.0,4,2,1,1,1,1,1,0,0,1,2,0,1,1,2,0
10039,17,17.0,2,1,2,1,1,0,0,1,0,0,4,0,2,0,3,0
10040,58,51.0,10,2,2,1,1,1,2,0,1,1,6,1,3,3,5,1
10041,8,8.0,6,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
10042,43,27.0,3,2,1,1,1,1,1,0,0,2,5,0,0,1,5,0
10043,16,16.0,2,1,2,1,1,1,2,0,0,2,3,0,0,2,3,0
10044,15,10.0,3,2,1,1,1,1,2,0,0,2,4,0,0,1,4,0
10045,16,15.0,9,2,2,1,1,1,2,0,1,1,3,2,1,1,3,2
10046,13,12.0,5,3,1,1,1,0,0,1,0,0,2,0,1,1,1,0
10047,35,35.0,2,1,2,1,1,1,2,0,0,1,9,0,1,2,9,0
10048,21,17.0,6,2,1,1,1,0,0,1,0,0,3,2,0,0,3,2
10049,9,9.0,7,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
10050,23,23.0,4,2,1,1,1,0,0,1,0,0,1,1,1,0,1,1
10051,4,3.0,2,1,1,1,1,1,2,0,0,1,2,0,1,1,1,0
10052,27,23.0,6,1,2,1,1,1,2,0,1,1,1,0,1,1,1,0
10053,69,50.0,8,2,2,1,1,1,2,1,1,1,12,0,0,2,12,0
10054,316,300.0,18,2,2,3,3,3,4,0,4,3,14,9,2,4,14,9
10055,2,2.0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0
10056,7,5.0,5,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0
10057,13,11.0,4,1,1,2,1,0,0,1,0,0,3,0,1,1,3,0
10058,27,24.0,3,3,2,1,1,0,0,1,0,0,8,0,0,0,7,0
10059,27,22.0,10,1,1,2,2,2,2,0,2,4,2,0,1,1,2,0
10060,227,215.0,13,3,2,1,1,1,2,0,1,2,21,9,1,1,15,8
10061,9,4.0,2,2,1,1,1,1,1,0,0,1,1,0,1,0,1,0
10062,13,12.0,10,3,3,3,2,1,0,1,1,2,1,0,1,2,1,0
