UID,day,trans_amt,bal,channel,amt_src1,merchant,code1,code2,trans_type1,acc_id1,device_code1,device_code2,device_code3,device1,device2,mac1,ip1,amt_src2,acc_id2,acc_id3,geo_code,trans_type2,market_code,market_type,ip1_sub
10000,2,11072.0,200.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1
10001,18,408810.0,877776.0,2,5,7,0,0,4,2,1,1,0,1,1,1,9,3,1,1,3,2,3,1,9
10002,3,7095.0,300.0,2,3,2,0,0,2,1,2,2,0,2,2,1,2,1,1,1,1,2,0,0,1
10003,4,22416.0,400.0,2,3,2,0,0,2,2,2,2,0,2,2,2,2,2,1,1,1,2,0,0,2
10004,7,101273.0,700.0,2,3,2,0,0,3,2,1,1,1,2,2,1,4,1,2,2,2,2,0,0,4
10005,1,27282.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10006,7,14289.0,700.0,2,4,2,0,0,2,2,2,2,0,2,2,2,5,2,1,1,2,2,0,0,5
10007,4,278478.0,400.0,1,2,1,0,0,1,1,1,1,0,1,1,1,2,2,0,0,1,0,0,0,2
10008,21,183131.0,13398.0,2,4,4,0,0,4,2,1,1,0,1,1,1,6,3,1,3,2,2,2,1,6
10009,7,20625.0,4752.0,2,4,3,0,0,3,2,1,1,0,1,1,1,5,3,0,0,1,2,1,1,4
10010,4,27828.0,400.0,1,2,1,0,0,2,1,1,1,0,1,1,1,1,1,0,0,1,1,3,1,1
10011,2,2918.0,200.0,1,2,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10012,9,174868.0,2441.0,2,6,3,0,0,4,2,2,2,0,1,2,2,4,3,1,1,3,1,1,1,4
10013,2,2918.0,200.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10014,12,35174.0,1200.0,2,3,3,0,0,2,3,2,2,5,3,4,2,8,2,3,1,2,2,1,1,7
10015,2,742.0,200.0,2,2,2,0,0,2,1,2,2,0,2,2,2,2,1,1,1,1,2,0,0,2
10016,15,183616.0,1500.0,2,4,3,0,0,3,3,2,2,0,1,2,1,5,4,2,2,1,2,3,1,5
10017,16,35575.0,402705.0,2,4,3,0,0,4,2,2,2,0,1,2,2,2,3,1,1,1,2,1,1,2
10018,2,43691.0,200.0,2,2,2,0,0,2,1,2,2,0,2,2,2,1,1,1,1,1,2,0,0,1
10019,5,11344.0,1232.0,1,2,2,0,0,3,2,0,0,2,1,1,0,1,2,1,1,0,1,2,1,1
10020,12,41970.0,1200.0,2,4,3,0,0,2,2,2,2,1,3,3,2,6,3,2,1,1,2,2,1,6
10021,76,8018.0,79913.0,2,3,23,32,0,2,3,0,0,0,0,1,0,4,2,0,0,0,3,0,0,4
10022,11,43095.0,1430.0,2,5,3,0,0,3,2,1,1,0,1,1,1,5,3,0,0,1,2,4,2,5
10023,1,13691.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10024,6,3376.0,600.0,2,3,2,0,0,2,1,2,2,0,2,2,2,1,1,1,1,1,2,0,0,1
10025,61,419631.0,2684912.0,2,5,10,0,0,6,14,2,3,0,1,2,2,15,3,2,8,2,2,2,1,9
10026,7,17008.0,700.0,1,2,2,0,0,1,1,1,1,0,1,1,1,3,2,0,0,1,1,0,0,3
10027,2,4277.0,200.0,1,2,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10028,8,23086.0,2462.0,2,3,2,0,0,2,3,1,1,0,1,1,1,3,4,0,0,1,2,1,1,3
10029,9,21285.0,900.0,2,3,3,0,0,2,3,3,2,0,2,3,3,6,1,3,1,1,2,0,0,4
10030,1,371.0,100.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1
10031,2,85553.0,200.0,1,2,1,0,0,1,1,1,1,0,1,1,1,1,2,0,0,1,0,0,0,1
10032,6,17848.0,16353.0,2,3,2,0,0,3,1,0,0,1,1,1,0,3,1,0,0,1,2,2,1,3
10033,10,42457.0,5050.0,2,6,5,1,0,3,4,2,2,0,1,2,1,4,5,1,1,1,3,0,0,4
10034,10,23287.0,20808.0,2,5,3,0,0,3,2,1,0,0,1,1,1,3,3,0,0,1,2,1,1,1
10035,7,3846721.0,700.0,3,5,5,0,0,5,1,1,1,1,1,1,1,5,4,1,2,1,1,0,0,4
10036,36,48932640.0,3600.0,3,3,3,0,0,3,1,1,1,0,0,1,0,12,3,1,0,1,1,0,0,12
10037,11,24946.0,108152.0,2,4,2,0,0,3,3,1,1,0,1,1,1,4,3,0,0,1,2,3,1,4
10038,3,275525.0,300.0,2,2,2,0,0,2,2,1,1,0,1,1,1,2,1,0,0,1,2,0,0,2
10039,14,32657.0,39340.0,2,4,2,0,0,3,1,0,0,1,1,1,0,6,2,0,0,0,2,1,1,4
10040,4,101170.0,58530.0,2,3,3,0,0,2,2,1,1,0,1,1,1,4,2,0,0,3,1,0,0,4
10041,1,10973.0,100.0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
10042,9,21829.0,3074.0,2,4,2,0,0,3,2,1,1,0,1,1,1,3,2,0,0,1,2,1,1,3
10043,4,25680.0,8712.0,2,3,2,0,0,3,1,1,1,0,1,1,1,3,1,0,0,2,2,1,1,3
10044,10,12277.0,1000.0,1,2,2,0,0,1,0,1,1,0,1,1,1,5,1,0,0,1,1,3,1,5
10045,6,62112.0,600.0,1,2,1,0,0,1,1,1,1,0,1,1,1,2,2,0,0,1,0,0,0,2
10046,8,116459.0,800.0,2,4,2,0,0,2,2,0,0,1,1,1,0,2,3,0,0,1,1,0,0,1
10047,16,31498.0,1600.0,2,4,2,0,0,3,1,1,1,0,1,1,1,9,3,0,0,2,2,1,1,9
10048,14,39452.0,138535.0,2,3,6,0,0,2,4,0,0,1,1,1,0,5,2,0,0,0,2,2,1,5
