UID,Tag,day_x,mode,os,version,device1_x,device2_x,device_code1_x,device_code2_x,device_code3_x,mac1_x,mac2,ip1_x,ip2,wifi,geo_code_x,ip1_sub_x,ip2_sub,success,day_y,channel,amt_src1,merchant,code1,code2,trans_type1,acc_id1,device_code1_y,device_code2_y,device_code3_y,device1_y,device2_y,mac1_y,ip1_y,amt_src2,acc_id2,acc_id3,geo_code_y,trans_type2,market_code,market_type,ip1_sub_y,trans_amt,bal
10000,1,9.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11072.0,200.0
10001,0,67.0,6.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,1.0,1.0,3.0,9.0,1.0,49.0,18.0,2.0,5.0,7.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,9.0,408810.0,877776.0
10002,0,11.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,11.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,7095.0,300.0
10003,0,15.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,15.0,4.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,22416.0,400.0
10004,0,34.0,9.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,3.0,1.0,6.0,0.0,32.0,7.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,101273.0,700.0
10005,0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,27282.0,100.0
10006,0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,14289.0,700.0
10007,0,13.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,13.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,278478.0,400.0
10008,0,30.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,29.0,21.0,2.0,4.0,4.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,6.0,183131.0,13398.0
10009,0,12.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,12.0,7.0,2.0,4.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,20625.0,4752.0
