UID,success_sum,mode_sum,os_sum,version_sum,device1_sum_x,device2_sum_x,device_code1_sum_x,device_code2_sum_x,device_code3_sum_x,mac1_sum_x,mac2_sum,ip1_sum_x,ip2_sum,wifi_sum,geo_code_sum_x,ip1_sub_sum_x,ip2_sub_sum,channel_sum,amt_src1_sum,merchant_sum,code1_sum,code2_sum,trans_type1_sum,acc_id1_sum,device_code1_sum_y,device_code2_sum_y,device_code3_sum_y,device1_sum_y,device2_sum_y,mac1_sum_y,ip1_sum_y,amt_src2_sum,acc_id2_sum,acc_id3_sum,geo_code_sum_y,trans_type2_sum,market_code_sum,market_type_sum,ip1_sub_sum_y
10000,9.0,9.0,9.0,9.0,9.0,7.0,,,9.0,,,9.0,,,,9.0,,2.0,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,,2.0,2.0,,,,2.0,,,2.0
10001,50.0,67.0,67.0,48.0,49.0,39.0,48.0,48.0,1.0,5.0,43.0,50.0,1.0,2.0,48.0,50.0,1.0,18.0,18.0,18.0,,,18.0,14.0,16.0,16.0,,16.0,16.0,16.0,18.0,14.0,1.0,1.0,16.0,18.0,3.0,3.0,18.0
10002,11.0,11.0,11.0,10.0,10.0,8.0,10.0,10.0,,4.0,6.0,10.0,,,6.0,10.0,,3.0,3.0,3.0,,,3.0,1.0,3.0,3.0,,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,,,3.0
10003,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,,,15.0,15.0,,14.0,,15.0,,4.0,4.0,4.0,,,4.0,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,4.0,,,4.0
10004,34.0,34.0,34.0,34.0,34.0,33.0,34.0,34.0,,9.0,25.0,34.0,,16.0,14.0,34.0,,7.0,7.0,7.0,,,7.0,4.0,5.0,5.0,2.0,7.0,7.0,5.0,7.0,4.0,4.0,4.0,5.0,7.0,,,7.0
10005,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
10006,4.0,7.0,7.0,4.0,4.0,3.0,4.0,4.0,,,4.0,4.0,,,4.0,4.0,,7.0,7.0,7.0,,,7.0,2.0,7.0,7.0,,7.0,7.0,7.0,7.0,2.0,1.0,1.0,7.0,7.0,,,7.0
10007,13.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,,,13.0,13.0,,10.0,13.0,13.0,,4.0,4.0,4.0,,,4.0,2.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,4.0,,,,4.0
10008,30.0,30.0,30.0,21.0,21.0,17.0,21.0,21.0,,8.0,13.0,21.0,9.0,6.0,21.0,21.0,9.0,21.0,21.0,21.0,,,21.0,16.0,21.0,21.0,,21.0,21.0,21.0,21.0,21.0,3.0,3.0,21.0,21.0,6.0,6.0,21.0
10009,12.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,,,12.0,12.0,,,7.0,12.0,,7.0,7.0,7.0,,,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,,,1.0,6.0,2.0,2.0,7.0
